False
13
0
62,14
5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,3,3,3,0,0,0,4,0,0,0,7,5
5,3,3,8,3,0,0,0,4,0,0,0,0,5
5,3,3,3,10,4,3,0,4,0,0,0,0,5
5,3,3,10,10,4,0,0,4,0,0,0,0,5
5,3,10,10,3,4,0,0,4,0,0,0,0,5
5,10,10,3,3,4,3,4,4,4,4,4,4,5
5,10,3,3,10,4,0,0,23,0,0,23,0,5
5,3,3,10,10,4,18,18,4,4,4,4,0,5
5,3,10,10,3,4,4,4,4,4,4,4,0,5
5,3,3,3,0,23,0,0,23,0,0,0,0,5
5,3,3,3,5,4,4,4,4,0,0,0,0,5
5,3,3,3,3,4,0,0,4,0,0,0,0,5
5,3,10,3,3,4,0,18,4,0,0,0,0,5
5,10,3,10,3,4,0,5,4,0,0,4,0,5
5,3,3,3,10,4,0,0,4,0,0,10,0,5
5,3,3,3,3,4,0,0,4,5,5,5,0,5
5,3,10,10,3,4,4,0,4,4,4,4,0,5
5,10,3,3,3,4,4,0,4,4,4,4,0,5
5,10,3,3,3,4,4,0,4,0,0,4,0,5
5,10,3,3,3,4,4,0,4,0,0,4,0,5
5,10,3,3,3,4,4,0,4,18,10,4,0,5
5,3,10,3,3,4,4,0,4,10,10,4,0,5
5,3,10,3,10,4,4,0,4,4,4,5,0,5
5,3,3,10,3,4,4,0,4,0,0,0,0,5
5,10,3,3,3,4,0,0,4,0,0,0,5,5
5,3,10,10,3,4,0,4,4,0,0,0,0,5
5,3,3,3,3,4,0,0,21,0,0,0,0,5
5,3,3,10,10,4,0,0,4,0,0,0,0,5
5,3,3,3,18,21,0,0,4,0,0,0,14,5
5,5,5,5,5,5,0,0,5,5,5,5,5,5
5,5,5,5,5,5,0,0,5,5,5,5,5,5
5,3,4,18,4,4,0,0,23,0,0,0,0,5
5,3,3,3,10,3,0,0,4,0,0,18,10,5
5,3,3,10,3,4,0,0,4,10,10,10,10,5
5,3,10,3,3,4,0,0,4,10,10,10,10,5
5,10,3,3,3,3,0,0,4,4,4,3,3,5
5,10,4,4,4,4,0,0,4,0,0,0,0,5
5,3,18,10,3,3,0,0,4,0,0,0,4,5
5,3,10,10,3,4,0,0,0,0,0,0,0,5
5,3,10,3,3,4,0,0,4,4,4,4,4,5
5,10,10,10,3,4,0,0,4,0,0,0,0,5
5,3,3,10,3,3,0,0,4,0,0,0,0,5
5,10,10,10,3,3,0,0,4,0,8,0,0,5
5,3,3,10,3,4,0,0,4,0,4,0,0,5
5,3,10,3,3,4,0,0,4,0,4,4,4,5
5,10,3,3,3,4,0,0,4,0,4,18,3,5
5,10,3,10,10,4,0,0,4,0,4,3,18,5
5,3,3,10,3,4,0,0,4,0,4,3,3,5
5,3,3,10,3,4,0,0,4,0,4,4,4,5
5,3,10,10,3,4,0,0,4,0,0,18,0,5
5,10,10,3,10,4,0,0,0,0,5,5,0,5
5,3,3,10,10,3,0,0,0,0,0,0,0,5
5,3,10,10,3,3,0,0,10,0,0,10,0,5
5,3,10,3,3,4,0,0,5,5,5,5,0,5
5,3,18,3,3,4,0,0,0,0,0,0,0,5
5,4,4,4,4,4,0,0,4,4,4,4,4,5
5,0,0,0,0,0,0,0,4,14,4,0,0,5
5,14,0,14,14,4,0,0,3,0,0,0,0,5
5,0,0,0,0,4,0,0,4,0,4,0,0,5
5,18,14,14,0,4,0,0,4,0,4,1,0,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5
