False
10
0
15,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,23,3,3,3,3,3,3,3,3,3,3,23,3,3,3,3,10,5
5,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,5
5,3,10,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,5
5,3,4,4,3,3,3,3,3,1,2,3,3,4,10,10,4,10,3,5
5,3,3,4,4,3,3,3,3,3,3,3,3,4,3,10,4,10,3,5
5,3,3,3,4,4,3,3,3,3,3,3,0,21,0,10,4,3,3,5
5,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,10,18,3,5
5,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,5
5,3,3,3,3,3,3,4,4,3,3,3,3,4,3,10,3,3,3,5
5,3,3,3,10,10,10,10,4,4,3,3,3,4,3,10,10,3,3,5
5,3,3,10,10,10,10,10,10,4,4,3,3,4,3,10,10,3,7,5
5,3,10,10,10,10,10,10,10,10,4,4,3,4,3,10,10,10,10,5
5,3,18,18,18,18,18,18,18,18,18,4,8,4,3,3,3,3,3,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
